Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,10,asymmetric,0.01,0.5204249153653147,0.5204249153653147
75% Corpus,10,asymmetric,0.31,0.4892363097448035,0.4892363097448035
75% Corpus,10,asymmetric,0.61,0.4736772974048883,0.4736772974048883
75% Corpus,10,asymmetric,0.9099999999999999,0.46739023529043155,0.46739023529043155
75% Corpus,10,asymmetric,symmetric,0.5002972477948865,0.5002972477948865
75% Corpus,11,0.01,0.01,0.6532333691961724,0.6532333691961724
75% Corpus,11,0.01,0.31,0.5998776023390916,0.5998776023390916
75% Corpus,11,0.01,0.61,0.5812202444344254,0.5812202444344254
75% Corpus,11,0.01,0.9099999999999999,0.5788351904614321,0.5788351904614321
75% Corpus,11,0.01,symmetric,0.623211859532085,0.623211859532085
75% Corpus,11,0.31,0.01,0.6854714239929408,0.6854714239929408
75% Corpus,11,0.31,0.31,0.6728827534611135,0.6728827534611135
75% Corpus,11,0.31,0.61,0.6593915690243534,0.6593915690243534
75% Corpus,11,0.31,0.9099999999999999,0.6485830183504745,0.6485830183504745
75% Corpus,11,0.31,symmetric,0.686071488235526,0.686071488235526
75% Corpus,11,0.61,0.01,0.6936799732167869,0.6936799732167869
75% Corpus,11,0.61,0.31,0.6633605570427602,0.6633605570427602
75% Corpus,11,0.61,0.61,0.5984540359091148,0.5984540359091148
75% Corpus,11,0.61,0.9099999999999999,0.49856908817150936,0.49856908817150936
75% Corpus,11,0.61,symmetric,0.6891244140582294,0.6891244140582294
75% Corpus,11,0.9099999999999999,0.01,0.7041003457162602,0.7041003457162602
75% Corpus,11,0.9099999999999999,0.31,0.628810326908827,0.628810326908827
75% Corpus,11,0.9099999999999999,0.61,0.6969971834962451,0.6969971834962451
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.7028543080336447,0.7028543080336447
75% Corpus,11,0.9099999999999999,symmetric,0.697784754084546,0.697784754084546
75% Corpus,11,symmetric,0.01,0.630407143249912,0.630407143249912
75% Corpus,11,symmetric,0.31,0.5630882207397566,0.5630882207397566
75% Corpus,11,symmetric,0.61,0.5548983435847066,0.5548983435847066
75% Corpus,11,symmetric,0.9099999999999999,0.5545787699008901,0.5545787699008901
75% Corpus,11,symmetric,symmetric,0.5733377069613698,0.5733377069613698
75% Corpus,11,asymmetric,0.01,0.5081217328736216,0.5081217328736216
75% Corpus,11,asymmetric,0.31,0.4565600886305401,0.4565600886305401
75% Corpus,11,asymmetric,0.61,0.4425219961234222,0.4425219961234222
75% Corpus,11,asymmetric,0.9099999999999999,0.4382675542227623,0.4382675542227623
75% Corpus,11,asymmetric,symmetric,0.48408133848468143,0.48408133848468143
75% Corpus,12,0.01,0.01,0.6459312177810483,0.6459312177810483
75% Corpus,12,0.01,0.31,0.5792043033278056,0.5792043033278056
75% Corpus,12,0.01,0.61,0.5768397876900724,0.5768397876900724
75% Corpus,12,0.01,0.9099999999999999,0.5669932802634462,0.5669932802634462
75% Corpus,12,0.01,symmetric,0.6150819367454362,0.6150819367454362
75% Corpus,12,0.31,0.01,0.6933095712921031,0.6933095712921031
75% Corpus,12,0.31,0.31,0.6871712399333657,0.6871712399333657
75% Corpus,12,0.31,0.61,0.6757457570888569,0.6757457570888569
75% Corpus,12,0.31,0.9099999999999999,0.6663970599598593,0.6663970599598593
75% Corpus,12,0.31,symmetric,0.6884286072832793,0.6884286072832793
75% Corpus,12,0.61,0.01,0.6908487887112513,0.6908487887112513
75% Corpus,12,0.61,0.31,0.6531577250911687,0.6531577250911687
75% Corpus,12,0.61,0.61,0.5158917080134638,0.5158917080134638
75% Corpus,12,0.61,0.9099999999999999,0.5512356355086075,0.5512356355086075
75% Corpus,12,0.61,symmetric,0.6886808230765817,0.6886808230765817
75% Corpus,12,0.9099999999999999,0.01,0.6946269246057004,0.6946269246057004
75% Corpus,12,0.9099999999999999,0.31,0.5925457614783849,0.5925457614783849
75% Corpus,12,0.9099999999999999,0.61,0.6918603863733649,0.6918603863733649
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.7064176118710873,0.7064176118710873
75% Corpus,12,0.9099999999999999,symmetric,0.6914824435952996,0.6914824435952996
75% Corpus,12,symmetric,0.01,0.5738964858139354,0.5738964858139354
75% Corpus,12,symmetric,0.31,0.540584223779904,0.540584223779904
75% Corpus,12,symmetric,0.61,0.5453997709367546,0.5453997709367546
75% Corpus,12,symmetric,0.9099999999999999,0.5522690218261087,0.5522690218261087
75% Corpus,12,symmetric,symmetric,0.545925453945974,0.545925453945974
75% Corpus,12,asymmetric,0.01,0.5033372202912969,0.5033372202912969
75% Corpus,12,asymmetric,0.31,0.46363764949346115,0.46363764949346115
75% Corpus,12,asymmetric,0.61,0.45010318782546616,0.45010318782546616
75% Corpus,12,asymmetric,0.9099999999999999,0.4470462155569044,0.4470462155569044
75% Corpus,12,asymmetric,symmetric,0.4720523489325728,0.4720523489325728
75% Corpus,13,0.01,0.01,0.647585681524791,0.647585681524791
